Dataset,Model,Test AUC-PR,Test F1,CV AUC-PR Mean,CV AUC-PR Std,CV F1 Mean,CV F1 Std
Fraud_Data,Logistic Regression,0.13484042738106233,0.20754716981132076,0.6255413744974364,0.028897822465279156,0.6892310075138435,0.024789597998841756
Fraud_Data,Random Forest,0.09828343930444347,0.0,0.9861533029363596,0.005318075138153082,0.9313022682534653,0.021592603597713384
Fraud_Data,Tuned XGBoost,0.12279139237270917,0.14285714285714285,0.98186145996034,0.005082466841122321,0.9260905547169989,0.01735122292411098
Credit_Card,Logistic Regression,0.14027777777777778,0.2222222222222222,0.986343719801361,0.009649947112055699,0.9736608754106427,0.010673093636955846
Credit_Card,Random Forest,1.0,0.0,1.0,0.0,1.0,0.0
Credit_Card,Tuned XGBoost,1.0,1.0,1.0,4.965068306494546e-17,1.0,0.0
